currency_co,open_dt,agreement_amt_rub,applied_amt_rub,month_pay_rub,term_cnt,region_name,score_day,score_hour,age,born_in_russia,gender,marital,education,child_minor,reg_fact,residence_period,work_status,website,gen_property,gen_exp,pre_exp,gen_industry,salary300,income_confirmation,flat_owner,house_owner,auto_owner,garage_owner,land_owner,account_owner,card_owner,current_credit,email_shown,work_phone_shown,home_phone_shown,current_phone_shown,mobile_phone_shown,phone_work_same,phone_reg_same,reg_state,auto_number_shown,inn_number_shown,drvlic_number_shown,pension_number_shown,UCI,OL,child_adult,previous_score,default
nom,lin,lin,lin,lin,lin,nom,nom,lin,lin,bin,bin,nom,nom,lin,bin,lin,nom,bin,nom,lin,lin,nom,lin,bin,nom,nom,nom ,bin,bin,bin,nom,bin,bin,bin,bin,bin,bin,bin,bin,nom,bin,bin,bin,bin,lin,lin,bin,lin,bin
1,733564,100000,100000,8700,60,2,2,13,27,1,0,2,3,0,1,300,2,1,5,10,33,25,26000,1,1,1,2,0,0,1,3,0,1,1,1,1,1,0,0,8,1,0,0,0,0,3000,0,41.8,0
1,733565,180000,180000,5200,60,2,6,13,41,1,1,2,3,0,1,192,4,0,1,144,0,2,20000,2,1,1,2,1,0,1,1,0,0,1,1,1,1,0,0,8,0,0,1,0,0,3800,1,44.3,0
1,733566,750000,750000,68342.5,60,2,4,11,34,1,1,2,4,1,1,42,4,1,5,6,0,20,117450,2,2,1,3,0,0,1,3,0,1,1,1,1,1,0,0,9,0,0,0,1,0,8000,0,49.3,1
1,733566,300000,300000,21005,60,2,5,12,43,1,1,2,1,0,1,84,1,0,4,96,50,17,26100,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,8,0,0,1,0,50000,4500,1,49.07749511,0
1,733568,250000,250000,12000,36,2,7,14,23,1,0,1,1,0,0,120,3,1,5,22,15,22,33000,1,1,1,2,0,0,0,3,0,1,1,0,1,1,0,0,9,0,1,1,1,0,300,0,32.3,0
1,733568,50000,50000,5134.6,24,2,2,15,50,1,0,3,3,0,1,468,2,0,1,43,336,2,18478,1,1,3,2,0,0,0,2,0,1,1,1,1,1,0,0,8,0,0,0,1,0,2000,1,47.3,0
1,733566,300000,700000,29350,60,2,7,12,34,1,1,2,2,1,1,36,4,0,5,156,24,19,53000,2,3,2,1,1,1,0,3,0,1,1,1,1,1,0,0,9,1,0,1,0,0,5500,0,56.3,0
1,733568,58800,150000,1495,60,2,3,12,48,1,0,2,2,1,1,113,1,0,1,109,168,2,14300,1,1,1,2,0,0,0,2,0,0,1,1,1,1,0,0,9,0,1,0,0,0,3600,1,40.3,0
1,733568,50000,130000,1762.85,40,2,2,12,29,0,1,2,3,1,1,60,3,0,1,71,0,2,17387,1,1,1,2,0,0,1,1,0,1,1,0,0,1,0,0,9,0,0,1,0,0,2500,0,35.3,0
1,733568,250000,250000,28575,60,2,5,15,32,1,1,2,3,1,1,180,3,0,6,10,0,20,40000,1,2,1,2,0,0,1,2,0,0,1,1,1,1,0,0,8,0,0,0,1,22000,5000,0,41.41612903,0
